ID,Prof,Rating_Weight_1,Rating_Weight_2,Rating_Weight_3,Rating_Weight_4,Rating_Weight_5,Rating_Weight_6,Rating_Weight_7,Rating_Weight_8,Rating_Weight_9,Rating_Weight_10,Rating_Weight_11,Ranking_Weight_1,Ranking_Weight_2,Ranking_Weight_3,Ranking_Weight_4,Ranking_Weight_5,Ranking_Weight_6,Ranking_Weight_7,Ranking_Weight_8,Ranking_Weight_9,Ranking_Weight_10,Ranking_Weight_11
R_1o8ePruhBdKMYuZ,Very Experienced: architecture professional,7,9,10,10,7,6,9,6,9,5,7,9,1,11,4,2,8,10,6,7,5,3
R_3ipN1SFLsSJLXTf,Somewhat experienced: architecture student,8,8,6,6,5,5,5,6,7,4,6,1,5,8,11,10,7,4,9,6,3,2
R_12MyUnZsar3T8TF,Somewhat experienced: architecture student,7,8,6,9,9,5,6,8,9,10,9,4,9,11,3,10,2,1,8,5,6,7
R_9R0SQ1LflONj9L3,Very Experienced: architecture professional,6,5,4,5,6,7,4,5,6,6,6,1,3,2,7,6,11,9,10,4,5,8
R_3j1BFMzH1dHnik3,Somewhat experienced: architecture student,3,4,2,4,5,8,9,1,3,4,9,10,5,2,11,6,1,9,8,7,3,4
R_2aIAnuvHmZiq7VS,No experience: no architectural or construction training,6,5,6,7,6,5,8,8,10,8,9,1,5,9,7,11,8,10,4,2,6,3
R_3HHcbgbpPAqJwyJ,Very Experienced: architecture professional,8,8,9,5,9,6,9,9,6,10,10,1,3,2,10,4,9,7,8,11,5,6
R_26nxcsNVA1mmGw9,Somewhat experienced: architecture student,7,7,6,7,6,5,6,8,8,3,4,1,2,3,5,11,4,8,10,7,6,9
R_27ruo6FwZbnodvm,Somewhat experienced: architecture student,5,7,5,7,5,6,5,6,9,3,5,6,3,5,2,9,10,4,8,7,1,11
R_eJctWopy6LLMMzT,Somewhat experienced: architecture student,5,5,5,4,6,4,3,8,9,8,8,11,2,7,4,5,9,6,8,1,10,3
R_2z87CQPVD5OZziV,Somewhat experienced: architecture student,7,3,5,5,3,3,3,7,5,5,8,2,10,11,7,6,4,9,5,1,8,3
R_6sX1lF62KhWNVBL,Somewhat experienced: architecture student,5,6,4,3,3,8,3,6,6,7,3,7,5,6,8,11,3,9,1,2,10,4
R_1PRfyNPXAj8pjfi,Somewhat experienced: architecture student,4,4,3,2,3,7,2,6,5,4,3,10,11,6,2,8,4,1,7,3,9,5
R_2pLC6e8zowgGNet,Somewhat experienced: architecture student,2,2,2,2,3,2,3,7,6,5,NA,3,5,7,9,4,6,11,1,10,8,2
